Datetime,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2013-12-01 11-PM,BTCUSD,2595.98,2611.45,2591.32,2602,580.95,1511685.24
2013-12-01 10-PM,BTCUSD,2582.36,2596,2579.41,2595.98,328.94,852406.83
2013-12-01 09-PM,BTCUSD,2579.09,2590.05,2574.71,2582.36,442.23,1143030.49
2013-12-01 08-PM,BTCUSD,2566.51,2586.99,2563.02,2579.09,216.02,556118.78
2013-11-30 11-PM,BTCUSD,2554.4,2557.15,2541.9,2542.41,262.95,670974.2
2013-11-30 10-PM,BTCUSD,2559.98,2573.84,2552.01,2554.4,387.05,992687.47
2013-11-30 09-PM,BTCUSD,2556.02,2559.99,2550,2559.98,386,986807.45
2013-11-30 08-PM,BTCUSD,2547.43,2559.12,2547.16,2556.02,416.77,1063723.97
2013-11-30 07-PM,BTCUSD,2528.8,2548.02,2528.1,2547.43,332.44,843361.36
2013-11-30 06-PM,BTCUSD,2552.37,2553.62,2526.83,2528.8,617.11,1565459.14
2013-11-29 11-PM,BTCUSD,2517.01,2545,2507.57,2516.66,463.27,1171405.78
2013-11-29 10-PM,BTCUSD,2525,2525,2506,2517.01,454.22,1142345.43
2013-11-29 09-PM,BTCUSD,2504.09,2525,2495.56,2525,604.59,1517763.57
2017-12-18 11-PM,BTCUSD,18849.98,19175,18829.42,19039,1332.68,25322327.51
2017-12-17 11-PM,BTCUSD,19690,19719.99,19125,19378.99,2423.84,46885831.59
2017-12-17 10-PM,BTCUSD,19440.98,19787.99,19419.51,19690,1098.64,21536088.24
2017-12-16 11-PM,BTCUSD,19597,19797,19592.1,19650,1576.34,31035840.18
2017-12-16 10-PM,BTCUSD,19450,19597,19450,19597,1101.25,21496585.66
2020-03-14 11-PM,BTCUSD,5262.63,5269.47,5050,5165.25,4299,22068854.09
2020-03-14 10-PM,BTCUSD,5295.51,5332.54,5175.78,5262.63,1857.38,9759045.62
2020-03-14 09-PM,BTCUSD,5333.2,5355.41,5266.96,5295.51,996.38,5286195.95
2020-03-14 08-PM,BTCUSD,5400,5439.41,5285.09,5333.2,1637.91,8777037.23
2020-03-13 11-PM,BTCUSD,5676.11,5790,5508.79,5637.6,2686.28,15186499.44
2020-03-13 10-PM,BTCUSD,5567.21,5700,5527.23,5676.11,1736.34,9745971.64
2020-03-13 09-PM,BTCUSD,5438.42,5685,5427.34,5567.21,2290.64,12742581.85
2020-03-12 11-PM,BTCUSD,5802.24,5802.24,4644,4857.1,14339.11,73117493.12
